ano_mes;quant
2016-04;4
2016-05;15
2016-06;24
2016-07;9
2016-08;2
2016-09;3
2016-10;8
2016-11;8
2016-12;149
2017-01;38
2017-02;20
2017-03;33
2017-04;32
2017-05;37
2017-06;44
2017-07;64
2017-08;42
2017-09;32
2017-10;30
2017-11;26
2017-12;33
2018-01;35
2018-02;11
2018-03;29
2018-04;47
2018-05;37
2018-06;24
2018-07;26
2018-08;30
2018-09;52
2018-10;45
2018-11;37
2018-12;30
2019-01;43
2019-02;49
2019-03;31
2019-04;79
2019-05;32
2019-06;55
2019-07;57
2019-08;69
2019-09;50
2019-10;92
2019-11;50
2019-12;48
2020-01;22
2020-02;52
2020-03;44
2020-04;42
2020-05;77
2020-06;87
2020-07;106
2020-08;59
2020-09;41
2020-10;34
2020-11;44
2020-12;34
2021-01;32
2021-02;37
2021-03;37
2021-04;27
2021-05;31
2021-06;68
2021-07;103
2021-08;46
2021-09;27
2021-10;116
2021-11;79
2021-12;90
2022-01;33
2022-02;49
2022-03;53
2022-04;45
2022-05;70
2022-06;68
2022-07;115
2022-08;82
2022-09;59
2022-10;55
2022-11;63
2022-12;49
2023-01;52
2023-02;52
2023-03;49
2023-04;31
2023-05;48
2023-06;65
2023-07;40
2023-08;77
2023-09;51
2023-10;49
2023-11;50
2023-12;48
2024-01;79
2024-02;46
2024-03;51
2024-04;76
2024-05;99
2024-06;219
2024-07;159
2024-08;81
2024-09;24
